art_show_type_id,art_show_type_label,art_show_type_description
1,"Indoor Solo Show","Single-artist show held indoors"
2,"Indoor Group Show","Multiple artists exhibiting indoors"
3,"Outdoor Solo Show","Land art or outdoor solo installation"
4,"Outdoor Group Show","Collaborative or group land art"
5,"Land Art","Site-specific outdoor creation"
6,"City Installation","Urban outdoor installation"
